features,type,accuracy,freqs
1682,HR+,1.0,1
208,HR+,0.7142857142857143,1
1871,HR+,0.75,1
736,TN,1.0,1
1871,TN,0.8,1
2604,HR+,0.8333333333333334,1
2604,TN,1.0,1
2441,HR+,0.8333333333333334,1
317,TN,0.6,1
2441,TN,1.0,1
2720,TN,0.6,1
2720,HR+,0.8333333333333334,1
2582,TN,0.7,1
596,HR+,0.5555555555555556,1
1897,HR+,0.5555555555555556,1
1897,TN,0.625,1
1891,HR+,0.5555555555555556,1
736,HR+,0.8333333333333334,1
317,HR+,0.7142857142857143,1
698,TN,0.6,1
698,HR+,0.7142857142857143,1
2766,TN,0.8888888888888888,1
1408,HR+,0.625,1
1408,TN,0.8888888888888888,1
485,HR+,0.625,1
2598,HR+,0.7,1
735,TN,1.0,1
2598,TN,0.7142857142857143,1
1995,HR+,0.7,1
1995,TN,0.7142857142857143,1
1662,HR+,0.7,1
1662,TN,0.7142857142857143,1
125,HR+,0.7,1
576,HR+,0.8333333333333334,1
735,HR+,0.8333333333333334,1
1158,HR+,0.7272727272727273,1
208,TN,0.6,1
1158,TN,0.5,1
1891,TN,0.625,1
1496,HR+,0.5555555555555556,1
1496,TN,0.625,1
596,TN,0.625,1
2764,TN,0.625,1
2733,HR+,0.5555555555555556,1
2733,TN,0.625,1
2125,HR+,0.7142857142857143,1
1963,HR+,0.7142857142857143,1
2582,HR+,0.7142857142857143,1
1056,HR+,0.6,1
1813,HR+,0.6,1
1813,TN,1.0,1
1564,HR+,0.6,1
1564,TN,1.0,1
1245,HR+,0.6,1
1245,TN,1.0,1
1056,TN,1.0,1
40,HR+,0.7142857142857143,1
634,HR+,0.6,1
634,TN,1.0,1
2764,HR+,0.5555555555555556,1
2766,HR+,0.625,1
412,TN,0.6,1
2732,HR+,0.5555555555555556,1
2328,HR+,0.5555555555555556,1
595,HR+,0.5555555555555556,1
595,TN,0.625,1
2124,HR+,0.875,1
2124,TN,0.6666666666666666,1
2126,HR+,0.7142857142857143,1
2126,TN,0.5,1
2328,TN,0.625,1
2732,TN,0.625,1
2125,TN,0.5,1
413,HR+,0.8571428571428571,1
1584,HR+,0.9166666666666666,1
496,HR+,0.8571428571428571,1
496,TN,0.6,1
452,HR+,0.8571428571428571,1
452,TN,0.6,1
413,TN,0.6,1
412,HR+,0.8571428571428571,1
576,TN,1.0,1
485,TN,0.8888888888888888,1
2107,TN,0.5,1
1039,HR+,0.8,1
890,TN,1.0,1
2721,TN,1.0,1
2743,HR+,0.6666666666666666,1
1754,TN,0.6363636363636364,1
2038,TN,0.6363636363636364,1
2716,HR+,0.6666666666666666,1
2716,TN,1.0,1
1754,HR+,0.6666666666666666,1
1645,TN,0.6363636363636364,1
2038,HR+,0.6666666666666666,1
2434,TN,0.6666666666666666,1
30,HR+,0.6666666666666666,1
2005,HR+,1.0,1
2769,TN,0.6363636363636364,1
2769,HR+,0.6666666666666666,1
2743,TN,1.0,1
1039,TN,0.7142857142857143,1
2005,TN,0.6666666666666666,1
2435,TN,0.6666666666666666,1
2721,HR+,0.6666666666666666,1
1080,HR+,0.6666666666666666,1
262,HR+,0.8,1
2375,HR+,0.6666666666666666,1
1080,TN,1.0,1
2375,TN,1.0,1
262,TN,0.7142857142857143,1
2435,HR+,1.0,1
44,HR+,1.0,1
692,HR+,0.6666666666666666,1
671,TN,0.6363636363636364,1
692,TN,0.6363636363636364,1
671,HR+,0.6666666666666666,1
30,TN,0.6363636363636364,1
676,TN,0.6363636363636364,1
676,HR+,0.6666666666666666,1
2012,HR+,0.8,1
44,TN,0.6666666666666666,1
890,HR+,0.6666666666666666,1
372,HR+,0.6,1
2012,TN,0.7142857142857143,1
1645,HR+,0.6666666666666666,1
2337,HR+,0.8333333333333334,1
2615,HR+,0.8333333333333334,1
2615,TN,0.6,1
2352,HR+,0.8333333333333334,1
2352,TN,0.6,1
2338,HR+,0.8333333333333334,1
2338,TN,0.6,1
2337,TN,0.6,1
1743,HR+,0.5,1
2025,HR+,0.8333333333333334,1
2025,TN,0.6,1
304,HR+,0.8333333333333334,1
304,TN,0.6,1
1836,HR+,0.5,1
1836,TN,0.5714285714285714,1
2661,TN,0.875,1
2107,HR+,0.7272727272727273,1
1743,TN,0.5714285714285714,1
2434,HR+,1.0,1
1650,HR+,0.5,1
2661,HR+,0.6666666666666666,1
2601,HR+,0.9166666666666666,1
1403,TN,1.0,1
187,HR+,0.8888888888888888,1
691,HR+,0.5,1
691,TN,0.5714285714285714,1
690,HR+,0.5,1
690,TN,0.5714285714285714,1
623,HR+,0.5,1
623,TN,0.5714285714285714,1
2501,HR+,0.8888888888888888,1
2501,TN,0.625,1
2381,HR+,0.8888888888888888,1
2381,TN,0.625,1
1472,HR+,0.8888888888888888,1
1472,TN,0.625,1
17,HR+,0.8888888888888888,1
17,TN,0.625,1
1650,TN,0.5714285714285714,1
372,TN,1.0,1
1584,TN,0.6,1
2583,TN,0.7,1
2628,HR+,0.7,1
2628,TN,0.7142857142857143,1
1951,HR+,1.0,1
1951,TN,0.6363636363636364,1
2583,HR+,0.7142857142857143,1
2489,HR+,0.7272727272727273,1
2490,HR+,0.7272727272727273,1
342,HR+,1.0,1
2028,TN,0.5,1
2438,TN,0.5,1
2437,HR+,0.6666666666666666,1
2437,TN,0.5,1
2032,HR+,0.6666666666666666,1
2032,TN,0.5,1
2028,HR+,0.6666666666666666,1
1831,HR+,0.6666666666666666,1
1063,TN,0.5,1
2300,TN,0.8333333333333334,1
1831,TN,0.5,1
2490,TN,0.8333333333333334,1
2402,HR+,0.7272727272727273,1
1157,TN,0.4,1
1787,HR+,0.6666666666666666,1
722,HR+,0.9166666666666666,1
722,TN,0.4,1
2601,TN,0.6,1
1682,TN,0.8,1
2040,HR+,0.6666666666666666,1
2040,TN,0.625,1
2016,HR+,0.9,1
2559,TN,0.7142857142857143,1
2559,HR+,0.9,1
2402,TN,0.8333333333333334,1
2489,TN,0.8333333333333334,1
2488,HR+,0.7272727272727273,1
2488,TN,0.8333333333333334,1
2487,HR+,0.7272727272727273,1
2487,TN,0.8333333333333334,1
2300,HR+,0.7272727272727273,1
1592,TN,0.4,1
1830,HR+,0.6666666666666666,1
1568,HR+,0.6666666666666666,1
1966,HR+,0.42857142857142855,1
2708,HR+,0.4444444444444444,1
839,TN,0.875,1
2708,TN,0.875,1
1979,HR+,0.4444444444444444,1
1979,TN,0.875,1
1978,HR+,0.4444444444444444,1
1978,TN,0.875,1
839,HR+,0.4444444444444444,1
838,HR+,0.4444444444444444,1
2464,TN,0.9,1
838,TN,0.875,1
12,HR+,0.4444444444444444,1
12,TN,0.875,1
2477,HR+,0.42857142857142855,1
2477,TN,0.9,1
2464,HR+,0.42857142857142855,1
1964,HR+,0.42857142857142855,1
1830,TN,0.5,1
2566,HR+,0.9,1
378,HR+,0.875,1
1568,TN,0.5,1
1063,HR+,0.6666666666666666,1
1553,TN,0.6363636363636364,1
342,TN,0.6363636363636364,1
2566,TN,0.7142857142857143,1
463,TN,0.9,1
1964,TN,0.9,1
1812,HR+,0.42857142857142855,1
1812,TN,0.9,1
763,HR+,0.42857142857142855,1
763,TN,0.9,1
463,HR+,0.42857142857142855,1
2802,HR+,0.875,1
1966,TN,0.9,1
2802,TN,0.4444444444444444,1
1688,HR+,0.875,1
1688,TN,0.4444444444444444,1
378,TN,0.4444444444444444,1
1592,HR+,0.9166666666666666,1
1553,HR+,1.0,1
2563,HR+,0.9166666666666666,1
2438,HR+,0.6666666666666666,1
2515,TN,0.6666666666666666,1
1997,HR+,0.7272727272727273,1
1997,TN,0.6666666666666666,1
1919,HR+,0.7272727272727273,1
1919,TN,0.6666666666666666,1
1918,HR+,0.7272727272727273,1
1403,HR+,0.6666666666666666,1
1918,TN,0.6666666666666666,1
1608,TN,0.6666666666666666,1
813,HR+,0.7272727272727273,1
813,TN,0.6666666666666666,1
16,HR+,0.7272727272727273,1
16,TN,0.6666666666666666,1
1976,HR+,0.8571428571428571,1
1976,TN,0.8,1
1608,HR+,0.7272727272727273,1
187,TN,0.875,1
125,TN,0.7142857142857143,1
483,TN,0.5,1
40,TN,0.5,1
478,TN,0.5,1
1963,TN,0.5,1
815,HR+,0.7142857142857143,1
1882,HR+,0.7142857142857143,1
1882,TN,0.5,1
1849,HR+,0.7142857142857143,1
1849,TN,0.5,1
1145,HR+,0.7142857142857143,1
1145,TN,0.5,1
815,TN,0.5,1
478,HR+,0.7142857142857143,1
2563,TN,0.4,1
808,TN,0.5,1
484,HR+,0.7142857142857143,1
484,TN,0.5,1
483,HR+,0.7142857142857143,1
2515,HR+,0.7272727272727273,1
2546,TN,0.6666666666666666,1
808,HR+,0.7142857142857143,1
2031,TN,0.6666666666666666,1
87,TN,0.625,1
2762,HR+,0.8181818181818182,1
2762,TN,0.5,1
2004,TN,0.5,1
1242,HR+,0.6666666666666666,1
1067,HR+,0.8181818181818182,1
1067,TN,0.5,1
270,HR+,0.8181818181818182,1
270,TN,0.5,1
2409,HR+,0.6666666666666666,1
1242,TN,0.625,1
1787,TN,0.625,1
1035,TN,0.8,1
1157,HR+,0.9166666666666666,1
2828,HR+,0.9166666666666666,1
2828,TN,0.4,1
2546,HR+,0.7272727272727273,1
87,HR+,0.6666666666666666,1
841,TN,0.625,1
2409,TN,1.0,1
2004,HR+,0.8181818181818182,1
2016,TN,0.7142857142857143,1
841,HR+,0.6666666666666666,1
800,HR+,0.9,1
800,TN,0.7142857142857143,1
2481,HR+,0.9090909090909092,1
2031,HR+,0.9090909090909092,1
1654,HR+,0.9090909090909092,1
2552,TN,0.6666666666666666,1
1654,TN,0.6666666666666666,1
2481,TN,0.6666666666666666,1
755,TN,0.6666666666666666,1
147,HR+,0.6666666666666666,1
1035,HR+,0.8571428571428571,1
147,TN,0.8181818181818182,1
2552,HR+,0.7272727272727273,1
1886,HR+,0.8571428571428571,1
755,HR+,0.9090909090909092,1
1886,TN,0.8,1
2558,TN,0.6904761904761905,2
1280,TN,0.8181818181818181,2
761,TN,0.5181818181818182,2
1618,TN,0.7833333333333333,2
2419,HR+,0.696969696969697,2
395,HR+,0.8452380952380952,2
2419,TN,0.75,2
1280,HR+,0.6666666666666666,2
693,HR+,0.6904761904761905,2
1618,HR+,0.5892857142857143,2
395,TN,0.6,2
2029,TN,0.6071428571428572,2
2558,HR+,0.8875,2
2029,HR+,0.6833333333333333,2
1576,HR+,0.8154761904761905,2
1646,TN,0.6038961038961039,2
983,TN,0.5833333333333333,2
983,HR+,0.8636363636363636,2
1065,TN,0.5625,2
1065,HR+,0.7424242424242424,2
1565,TN,0.75,2
1565,HR+,0.7090909090909091,2
1651,HR+,0.5476190476190476,2
693,TN,0.6181818181818182,2
1960,TN,0.7424242424242424,2
2594,TN,0.8333333333333333,2
681,HR+,0.696969696969697,2
2722,HR+,0.696969696969697,2
174,TN,0.7556818181818181,2
2351,TN,0.75,2
2108,TN,0.6,2
1651,TN,0.7625,2
45,HR+,0.9,2
2380,HR+,0.6136363636363636,2
164,TN,0.7215909090909092,2
164,HR+,0.6666666666666666,2
37,HR+,0.7277777777777779,2
195,HR+,0.6111111111111112,2
842,HR+,0.5555555555555556,2
842,TN,0.75,2
1960,HR+,0.8333333333333333,2
681,TN,0.7348484848484849,2
