features,type,accuracy,freqs
2152,HER2+,1.0,1
689,TN,0.3333333333333333,1
689,HR+,0.75,1
689,HER2+,1.0,1
690,TN,0.3333333333333333,1
690,HR+,0.75,1
690,HER2+,1.0,1
700,TN,0.3333333333333333,1
700,HR+,0.75,1
700,HER2+,1.0,1
2743,TN,0.8571428571428571,1
2743,HR+,0.4166666666666667,1
2743,HER2+,0.8333333333333334,1
2747,TN,0.8571428571428571,1
2747,HR+,0.4166666666666667,1
2747,HER2+,0.8333333333333334,1
1421,TN,0.4,1
1421,HR+,0.5454545454545454,1
1421,HER2+,1.0,1
1422,TN,0.4,1
1422,HR+,0.5454545454545454,1
1422,HER2+,1.0,1
1423,TN,0.4,1
1423,HR+,0.5454545454545454,1
1423,HER2+,1.0,1
1425,TN,0.4,1
686,HER2+,1.0,1
1425,HR+,0.5454545454545454,1
686,HR+,0.75,1
685,HER2+,1.0,1
2709,TN,0.0,1
2824,HER2+,1.0,1
2832,TN,0.75,1
2832,HR+,0.5,1
2832,HER2+,1.0,1
305,TN,0.6666666666666666,1
305,HR+,0.5833333333333334,1
305,HER2+,1.0,1
684,TN,0.3333333333333333,1
684,HR+,0.75,1
1015,HER2+,0.8888888888888888,1
1015,HR+,0.4166666666666667,1
1015,TN,0.0,1
1007,HER2+,0.8888888888888888,1
1007,HR+,0.4166666666666667,1
1007,TN,0.0,1
1005,HER2+,0.8888888888888888,1
1005,HR+,0.4166666666666667,1
1005,TN,0.0,1
684,HER2+,1.0,1
685,TN,0.3333333333333333,1
685,HR+,0.75,1
1003,HER2+,0.8888888888888888,1
1003,HR+,0.4166666666666667,1
1003,TN,0.0,1
686,TN,0.3333333333333333,1
2709,HR+,0.4166666666666667,1
1425,HER2+,1.0,1
3,HR+,0.8571428571428571,1
1107,HER2+,1.0,1
2129,TN,1.0,1
2129,HR+,0.7142857142857143,1
2129,HER2+,0.8888888888888888,1
2169,TN,0.6,1
2169,HR+,0.6363636363636364,1
2169,HER2+,1.0,1
500,TN,0.5555555555555556,1
500,HR+,0.75,1
500,HER2+,1.0,1
1644,TN,0.6,1
1644,HR+,0.6666666666666666,1
1644,HER2+,0.875,1
192,TN,0.4,1
192,HR+,0.6923076923076923,1
192,HER2+,1.0,1
303,TN,0.4,1
303,HR+,0.6923076923076923,1
303,HER2+,1.0,1
307,TN,0.4,1
307,HR+,0.6923076923076923,1
307,HER2+,1.0,1
