features,type,accuracy,freqs
1818,HER2+,1.0,1
468,HER2+,0.9090909090909091,1
468,HR+,0.7777777777777778,1
468,TN,1.0,1
378,HER2+,0.9090909090909091,1
378,HR+,0.7777777777777778,1
378,TN,1.0,1
1300,TN,0.5,1
1300,HR+,0.3076923076923077,1
1300,HER2+,1.0,1
2152,HER2+,1.0,1
2152,HR+,0.5,1
2152,TN,0.8333333333333334,1
2151,HER2+,1.0,1
2151,HR+,0.5,1
2151,TN,0.8333333333333334,1
2150,HER2+,1.0,1
2150,HR+,0.5,1
2150,TN,0.8333333333333334,1
2139,HER2+,1.0,1
2139,HR+,0.5,1
2139,TN,0.8333333333333334,1
1102,TN,1.0,1
1102,HR+,0.7777777777777778,1
1102,HER2+,0.9090909090909091,1
1893,TN,1.0,1
1771,HR+,0.5,1
1515,HR+,0.7777777777777778,1
1515,TN,0.6666666666666666,1
1771,HER2+,1.0,1
2071,HER2+,1.0,1
2071,HR+,0.75,1
2071,TN,0.6666666666666666,1
1818,HR+,1.0,1
2168,TN,1.0,1
2168,HR+,0.5,1
2306,HER2+,1.0,1
2168,HER2+,1.0,1
2582,HR+,0.5,1
2582,HER2+,1.0,1
2616,TN,1.0,1
2616,HR+,0.5,1
615,HER2+,1.0,1
615,HR+,0.5555555555555556,1
615,TN,0.875,1
1893,HER2+,0.9090909090909091,1
2616,HER2+,1.0,1
1893,HR+,0.7777777777777778,1
2582,TN,1.0,1
1771,TN,1.0,1
2306,HR+,0.7272727272727273,1
699,HER2+,1.0,1
1350,TN,0.4,1
1350,HR+,0.5833333333333334,1
865,HER2+,1.0,1
865,HR+,0.5,1
865,TN,0.4166666666666667,1
717,HER2+,1.0,1
717,HR+,0.5,1
717,TN,0.4166666666666667,1
716,HER2+,1.0,1
716,HR+,0.5,1
716,TN,0.4166666666666667,1
33,HER2+,1.0,1
33,HR+,0.7,1
754,HER2+,0.8333333333333334,1
33,TN,0.6,1
823,HER2+,0.9,1
823,HR+,0.6666666666666666,1
1730,TN,0.42857142857142855,1
1730,HR+,1.0,1
1730,HER2+,1.0,1
754,HR+,0.5555555555555556,1
730,HER2+,0.875,1
