features,type,accuracy,freqs
2,HER2+,1.0,2
2,TN,0.6527777777777778,2
2,HR+,0.5181818181818182,2
3,HER2+,1.0,1
3,HR+,0.8571428571428571,1
3,TN,0.4,1
5,TN,0.4,1
5,HER2+,1.0,1
5,HR+,0.8571428571428571,1
31,TN,0.75,1
31,HR+,0.6666666666666666,1
31,HER2+,0.9166666666666666,1
32,HR+,0.7,1
32,TN,0.6,1
32,HER2+,1.0,1
33,HER2+,1.0,1
33,HR+,0.7,1
33,TN,0.6,1
34,TN,0.675,2
34,HER2+,0.9583333333333333,2
34,HR+,0.6833333333333333,2
53,HR+,0.5714285714285714,1
53,TN,0.6363636363636364,1
53,HER2+,1.0,1
54,TN,0.6155122655122655,7
54,HR+,0.6114454872858234,7
54,HER2+,1.0,7
55,HR+,0.5714285714285714,1
55,HER2+,1.0,1
55,TN,0.6363636363636364,1
56,TN,0.6306060606060606,5
56,HR+,0.5383766233766234,5
56,HER2+,1.0,5
57,TN,0.6430555555555555,4
57,HR+,0.5301136363636363,4
57,HER2+,1.0,4
58,HR+,0.5961991711991712,9
58,TN,0.6707231040564374,9
58,HER2+,0.9675925925925927,9
59,TN,0.6344444444444444,5
59,HR+,0.5563636363636364,5
59,HER2+,1.0,5
60,HER2+,1.0,2
60,HR+,0.45,2
60,TN,0.7083333333333333,2
62,HER2+,0.9416666666666668,5
62,HR+,0.5443473193473193,5
62,TN,0.6847619047619047,5
65,HER2+,1.0,1
65,TN,0.6666666666666666,1
65,HR+,0.375,1
66,HR+,0.39583333333333337,2
66,HER2+,0.9444444444444444,2
66,TN,0.3333333333333333,2
67,HER2+,0.9629629629629629,3
67,HR+,0.49722222222222223,3
67,TN,0.5,3
70,TN,0.6666666666666666,1
70,HER2+,1.0,1
70,HR+,0.4,1
71,TN,0.6666666666666666,1
71,HR+,0.4,1
71,HER2+,1.0,1
72,HER2+,1.0,1
72,HR+,0.9,1
72,TN,1.0,1
74,TN,0.7083333333333333,2
74,HR+,0.5333333333333333,2
74,HER2+,0.9583333333333333,2
75,TN,1.0,1
75,HER2+,1.0,1
75,HR+,0.9,1
88,HER2+,0.875,1
88,HR+,0.7272727272727273,1
88,TN,0.6666666666666666,1
93,HER2+,1.0,1
93,HR+,0.5714285714285714,1
93,TN,0.6363636363636364,1
94,TN,0.6208964646464646,4
94,HR+,0.5178571428571428,4
94,HER2+,0.96875,4
99,HR+,0.5917207792207793,4
99,TN,0.6868686868686869,4
99,HER2+,0.9495192307692308,4
101,HER2+,0.9629629629629629,6
101,TN,0.5481481481481482,6
101,HR+,0.6447857697857697,6
102,TN,0.8333333333333334,1
102,HER2+,1.0,1
102,HR+,0.7,1
192,HER2+,0.8859987234987237,26
192,TN,0.5939976689976689,26
192,HR+,0.7107916655993579,26
194,HER2+,0.9153439153439153,3
194,HR+,0.6305555555555555,3
194,TN,0.6944444444444445,3
195,TN,0.875,1
195,HER2+,1.0,1
195,HR+,0.6,1
208,TN,0.7,1
208,HR+,0.6666666666666666,1
208,HER2+,0.7777777777777778,1
226,HR+,0.677041847041847,10
226,HER2+,0.8878030303030304,10
226,TN,0.5428787878787877,10
230,HR+,0.7055727341441627,21
230,HER2+,0.8967206074348931,21
230,TN,0.5870370370370371,21
231,HR+,0.8125,2
231,HER2+,0.95,2
