features,type,accuracy,freqs
465,TN,0.3333333333333333,1
161,HR+,0.625,1
1758,TN,0.5,1
161,TN,0.6666666666666666,1
1450,TN,0.6666666666666666,1
1451,HR+,0.625,1
1451,TN,0.6666666666666666,1
1300,HR+,0.8,1
1300,TN,0.8571428571428571,1
755,HR+,1.0,1
755,TN,0.6363636363636364,1
751,HR+,1.0,1
751,TN,0.6363636363636364,1
748,HR+,1.0,1
748,TN,0.6363636363636364,1
523,HR+,0.625,1
523,TN,0.5555555555555556,1
1450,HR+,0.625,1
1755,HR+,0.5555555555555556,1
1755,TN,0.5,1
682,HR+,0.6,1
2114,TN,0.3333333333333333,1
2121,HR+,0.6428571428571429,1
2121,TN,0.3333333333333333,1
2126,HR+,0.6428571428571429,1
2126,TN,0.3333333333333333,1
2125,HR+,0.6428571428571429,1
2125,TN,0.3333333333333333,1
2124,HR+,0.6428571428571429,1
2124,TN,0.3333333333333333,1
717,TN,0.5555555555555556,1
717,HR+,0.625,1
406,TN,0.5,1
406,HR+,0.8181818181818182,1
503,HR+,0.625,1
503,TN,0.5555555555555556,1
1973,HR+,1.0,1
1973,TN,0.42857142857142855,1
759,HR+,1.0,1
759,TN,0.42857142857142855,1
189,HR+,1.0,1
189,TN,0.42857142857142855,1
32,HR+,1.0,1
32,TN,0.42857142857142855,1
2752,HR+,0.7777777777777778,1
2752,TN,0.5,1
2732,HR+,0.7777777777777778,1
2732,TN,0.5,1
942,HR+,1.0,1
2748,HR+,0.7777777777777778,1
1759,HR+,0.5555555555555556,1
1759,TN,0.5,1
1758,HR+,0.5555555555555556,1
2829,TN,0.5555555555555556,1
2829,HR+,0.625,1
522,TN,0.5555555555555556,1
522,HR+,0.625,1
165,HR+,0.6666666666666666,1
165,TN,0.5,1
166,HR+,0.6666666666666666,1
166,TN,0.5,1
153,HR+,0.6666666666666666,1
153,TN,0.5,1
400,HR+,0.8181818181818182,1
2748,TN,0.5,1
942,TN,0.3636363636363637,1
943,HR+,1.0,1
943,TN,0.3636363636363637,1
2112,HR+,0.6428571428571429,1
2112,TN,0.3333333333333333,1
2113,HR+,0.6428571428571429,1
2113,TN,0.3333333333333333,1
2123,HR+,0.6428571428571429,1
2123,TN,0.3333333333333333,1
2122,HR+,0.6428571428571429,1
2122,TN,0.3333333333333333,1
2120,HR+,0.6428571428571429,1
2120,TN,0.3333333333333333,1
2117,HR+,0.6428571428571429,1
2117,TN,0.3333333333333333,1
2118,HR+,0.6428571428571429,1
2111,TN,0.3333333333333333,1
2111,HR+,0.6428571428571429,1
1952,TN,0.6666666666666666,1
1951,TN,0.6666666666666666,1
455,TN,0.8,1
455,HR+,0.8571428571428571,1
261,HR+,0.8571428571428571,1
261,TN,0.4,1
454,TN,0.8,1
454,HR+,0.8571428571428571,1
458,TN,0.8,1
456,TN,0.8,1
1951,HR+,0.8181818181818182,1
456,HR+,0.8571428571428571,1
458,HR+,0.8571428571428571,1
