features,accs,freqs
671,0.7866666666666667,6
672,0.7599999999999999,14
673,0.7684210526315789,19
674,0.7876923076923077,13
676,0.8000000000000002,3
724,0.7485714285714284,7
726,0.764,10
729,0.7066666666666667,3
731,0.76,16
732,0.735,8
733,0.72,4
734,0.756,10
735,0.7354838709677419,31
736,0.7354838709677419,31
737,0.715,8
738,0.7085714285714285,7
739,0.744,5
740,0.6933333333333332,9
743,0.7233333333333333,24
838,0.7046153846153845,13
839,0.730566037735849,53
841,0.7244444444444446,27
842,0.7350819672131147,61
1091,0.7155555555555555,9
1092,0.7400000000000001,4
1656,0.7616666666666666,72
1663,0.76,52
1664,0.7568253968253967,63
1667,0.759344262295082,61
2184,0.7426666666666667,120
488,0.7634782608695655,23
840,0.7281481481481481,54
843,0.7271428571428574,28
846,0.7200000000000001,22
848,0.7184,25
849,0.7284615384615384,52
851,0.7214814814814815,54
852,0.7377777777777779,54
854,0.7284507042253521,71
855,0.7286666666666667,60
856,0.7124999999999999,16
857,0.7030769230769232,26
863,0.716,10
1649,0.7509090909090911,22
2154,0.7435294117647059,51
2156,0.7075,16
2157,0.7314285714285715,21
2159,0.67,4
2163,0.7100000000000001,4
2164,0.7200000000000001,4
2213,0.756875,64
2214,0.7424390243902439,41
2219,0.742222222222222,54
2220,0.7384615384615385,39
2221,0.7442857142857141,56
2223,0.7092307692307693,26
2224,0.728,10
478,0.7257142857142858,7
482,0.7066666666666666,9
483,0.7324999999999999,16
484,0.7675000000000001,32
487,0.74,10
825,0.6914285714285714,14
832,0.716,20
835,0.7300000000000001,24
1657,0.7727272727272729,22
1662,0.7452631578947371,38
1676,0.7706666666666667,15
1677,0.7673684210526317,38
1678,0.7548387096774192,62
1679,0.7892307692307694,26
2104,0.7520000000000002,35
2105,0.7412500000000001,32
2112,0.728,5
2113,0.7542857142857143,14
2123,0.7533333333333334,6
2124,0.7466666666666666,6
2263,0.7818181818181817,11
2264,0.7422222222222222,9
2751,0.75625,32
1065,0.7388235294117648,17
1671,0.7866666666666666,9
1672,0.7688888888888891,27
2056,0.85,4
2195,0.88,2
2202,0.7623529411764706,17
2203,0.7711111111111111,18
2204,0.7152941176470587,17
2205,0.7166666666666667,12
2206,0.7133333333333333,12
2207,0.7133333333333333,12
2208,0.8200000000000001,2
2209,0.7533333333333333,6
2210,0.7276190476190476,21
2211,0.7657142857142858,14
2212,0.7781818181818182,11
2734,0.7413333333333333,15
2735,0.7341176470588235,17
2748,0.7999999999999999,6
2754,0.81,4
489,0.723076923076923,13
827,0.6799999999999999,7
828,0.7072727272727273,22
844,0.7221052631578948,19
853,0.7244444444444444,36
858,0.7428571428571429,7
1668,0.7700000000000001,28
2243,0.7288888888888888,9
