features,type,accuracy,freqs
828,TN,0.625,1
828,HR+,0.5454545454545454,1
828,HER2+,1.0,1
829,TN,0.625,1
829,HR+,0.5454545454545454,1
829,HER2+,1.0,1
839,TN,0.8125,2
839,HR+,0.5419580419580419,2
839,HER2+,1.0,2
840,TN,0.8125,2
840,HR+,0.5419580419580419,2
840,HER2+,1.0,2
842,TN,0.8125,2
842,HR+,0.5419580419580419,2
842,HER2+,1.0,2
843,TN,0.625,1
843,HR+,0.5454545454545454,1
843,HER2+,1.0,1
844,TN,0.625,1
844,HR+,0.5454545454545454,1
844,HER2+,1.0,1
845,TN,0.625,1
845,HR+,0.5454545454545454,1
845,HER2+,1.0,1
846,TN,0.625,1
846,HR+,0.5454545454545454,1
846,HER2+,1.0,1
847,TN,0.625,1
847,HR+,0.5454545454545454,1
847,HER2+,1.0,1
848,TN,0.625,1
848,HR+,0.5454545454545454,1
848,HER2+,1.0,1
849,TN,0.625,1
849,HR+,0.5454545454545454,1
849,HER2+,1.0,1
852,TN,0.625,1
852,HR+,0.5454545454545454,1
852,HER2+,1.0,1
853,TN,0.625,1
853,HR+,0.5454545454545454,1
853,HER2+,1.0,1
854,TN,0.8125,2
854,HR+,0.5419580419580419,2
854,HER2+,1.0,2
857,TN,0.625,1
857,HR+,0.5454545454545454,1
857,HER2+,1.0,1
1656,TN,0.7638888888888888,3
1656,HR+,0.5835275835275834,3
1656,HER2+,0.9666666666666667,3
1662,TN,0.7638888888888888,3
1662,HR+,0.5835275835275834,3
1662,HER2+,0.9666666666666667,3
1663,TN,0.7638888888888888,3
1663,HR+,0.5835275835275834,3
1663,HER2+,0.9666666666666667,3
1664,TN,0.7638888888888888,3
1664,HR+,0.5835275835275834,3
1664,HER2+,0.9666666666666667,3
1667,TN,0.7638888888888888,3
1667,HR+,0.5835275835275834,3
1667,HER2+,0.9666666666666667,3
1674,TN,0.8125,2
1674,HR+,0.5419580419580419,2
1674,HER2+,1.0,2
1675,TN,0.8125,2
